loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.6320136021374787,0.6241412412214725,0.7473888753947049,0.7482724889053929,0.837260140879281,0.8345431375425147
1,0.6125603864734299,0.6077136149849903,0.7292270531400966,0.727240859408905,0.8248792270531401,0.822778833442906
2,0.6152906692721055,0.605614669924328,0.7300928187591598,0.7309990186895572,0.8204689789936492,0.8181716253508645
3,0.6357160402849423,0.6337293419133918,0.700319331859494,0.7015262974835633,0.8189633996561041,0.8174508445041228
4,0.6305562302647559,0.6230918256950819,0.6915229536069953,0.689411993077173,0.7940247753218362,0.7863091194271681
5,0.6492262343404569,0.6461469610768918,0.7253746008351757,0.7254556659079171,0.819454679439941,0.8172191331957349
6,0.6392281387396189,0.6272829500378612,0.7291157791890571,0.730371101618266,0.835857352222765,0.8325642051944151
7,0.6452569169960475,0.6477206032393444,0.75,0.7473711717444151,0.8488142292490118,0.8478076979505873
8,0.6345872007816317,0.6271548359026612,0.7217879824132878,0.7228197965193867,0.8290180752320468,0.8262223882603966
9,0.6360527601367856,0.6220450930343923,0.7440156326331216,0.7416235121212682,0.8202247191011236,0.8177943557071886
10,0.6497313141182218,0.648410411716543,0.6988275525158769,0.6950165969226129,0.8402540302882266,0.8382842722416987
11,0.6411201179071481,0.6307541959063896,0.7108818472119872,0.7098030429816419,0.8184721198722672,0.8144982607899192
12,0.6422152052465387,0.6377815671890662,0.7279572504250668,0.7279211568537616,0.8457614768034977,0.8436619242467388
13,0.6396135265700483,0.6219385233243208,0.7314009661835749,0.7300690500911257,0.8009661835748793,0.7964046764886028
14,0.6305562302647559,0.6311215285030919,0.7138693223220792,0.714919303973104,0.8338596065095943,0.8336589192251468
15,0.6507000736919676,0.6426890630323461,0.746990911323999,0.7497516040502197,0.843036109064112,0.8407885612550368
16,0.6430852370424956,0.6312805904872042,0.7175141242937854,0.7166501314609107,0.8017686072218129,0.7963757190265954
17,0.6121152906692721,0.6045621524951383,0.7095749877870053,0.7092199609490741,0.7992183683439179,0.7948909010848502
18,0.6614039349040564,0.659099672632217,0.7524896769492349,0.7527895785901622,0.8464901627398591,0.8467817646137542
19,0.6174398834102501,0.6097683971141582,0.7524896769492349,0.7514630571096337,0.8178285159096429,0.8163944327083011
20,0.6406288381233112,0.6324937397681014,0.7681159420289855,0.771727250620499,0.8609678211741587,0.8601008320664821
21,0.6180299680668141,0.6148966649906994,0.7005649717514124,0.6980437593362898,0.7796610169491526,0.7739854896051308
22,0.6290837632031442,0.6215620370045702,0.7396217145664455,0.7404862479432769,0.8405797101449275,0.8376987647937125
23,0.6692721055202736,0.6716699713362793,0.7349780166096727,0.7333032476889133,0.8419638495359062,0.8408895645041301
24,0.6118532912314792,0.6092643250345033,0.6920087442312364,0.6887953645633625,0.8127277143551129,0.8088958217107876
25,0.6282608695652174,0.6118040717085421,0.7270531400966184,0.7256961451041828,0.7985507246376812,0.78988969006858
26,0.6358085002442599,0.6321724455752606,0.7557401074743527,0.7544419820520311,0.8602833414753297,0.859699237003012
27,0.6968873517786561,0.6935711278885439,0.7425889328063241,0.7449200989420918,0.8740118577075099,0.8737659442832227
28,0.6072463768115942,0.5910375588023986,0.7272946859903382,0.7254427887646641,0.8253623188405798,0.8204807583285683
29,0.6366286130677677,0.6245130926149083,0.7043964051493806,0.7034940998039763,0.8231722127762934,0.8181000529886496
mean,0.6364056223621509,0.6295010758051566,0.7274401334832568,0.7269682124425793,0.8271300441691121,0.8242035642536273
std,0.018654154617768003,0.020978341509318953,0.020344692310336806,0.021189387207756805,0.021632732684611865,0.02334957402267497
