loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,base_model_validate_accuracy_C,base_model_train_f1_score_C,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.8956521739130435,0.8488517131844682,0.9507246376811594,0.932876434879212,0.9159420289855073,0.9184097859327217,1.0,1.0,0.9942028985507246,0.9941567466747324
2,0.8043478260869565,0.672197618654729,0.9472049689440993,0.9251341411949117,0.9658385093167702,0.9570767248280834,0.9751552795031055,0.9730576441102756,0.968944099378882,0.9671052631578947
3,0.9043478260869565,0.8215315438931619,0.9043478260869565,0.8540504299167369,0.9507246376811594,0.9300524919310227,0.9333333333333333,0.923680959484943,0.936231884057971,0.929337330571379
4,0.9014492753623189,0.8726510769711178,0.9536231884057971,0.9297464227229619,1.0,1.0,1.0,1.0,1.0,1.0
5,0.7950310559006211,0.6784417620816047,0.8975155279503105,0.816227603905707,0.6956521739130435,0.7443666260149995,0.9161490683229814,0.8837370825982906,0.8913043478260869,0.860582894396763
6,0.744927536231884,0.6632987299021182,0.9217391304347826,0.9038107750839461,0.8840579710144928,0.7911609375968965,0.8753623188405797,0.8550762586402187,0.8492753623188406,0.82927040855646
7,0.8347826086956521,0.7640780998633885,0.927536231884058,0.8961745616491036,0.9565217391304348,0.9208179281024016,0.9565217391304348,0.9476414329713081,0.9565217391304348,0.9476414329713081
8,0.8434782608695652,0.8213072437079014,0.863768115942029,0.7728497428577621,0.9246376811594202,0.9129649288664984,0.9333333333333333,0.9107954809418224,0.9304347826086956,0.9077764448896345
9,0.8434782608695652,0.7926264875022454,0.9188405797101449,0.8801932586684416,0.9797101449275363,0.9738035084833865,0.9652173913043478,0.9638750844575862,0.9594202898550724,0.957081376461682
10,0.8173913043478261,0.6664379874617902,0.9159420289855073,0.8382176899782534,0.9130434782608695,0.8328042328042329,0.9478260869565217,0.9401513021361357,0.9449275362318841,0.9359470240938007
11,0.7594202898550725,0.6885232767825322,0.9246376811594202,0.9131890423115238,0.8579710144927536,0.7901768441307679,0.9333333333333333,0.9231774458754519,0.8840579710144928,0.8710039731572481
12,0.8434782608695652,0.7364414113854723,0.8724637681159421,0.8481531888526676,0.8260869565217391,0.7414285777856606,0.9159420289855073,0.8858923384103241,0.8724637681159421,0.8493163989702205
13,0.7652173913043478,0.6487387214536298,0.8869565217391304,0.8304362232090561,0.927536231884058,0.8816819354622685,0.9420289855072463,0.9375244267990381,0.9217391304347826,0.9153284362332121
14,0.8173913043478261,0.7664322290578749,0.8985507246376812,0.8422713651137629,0.9130434782608695,0.8181975257446956,0.9739130434782609,0.9734123392946923,0.9681159420289855,0.9675146527518443
15,0.782608695652174,0.7570190934150416,0.9246376811594202,0.897914750443432,0.9652173913043478,0.9534574613036844,0.9855072463768116,0.9853911592672,0.9739130434782609,0.9737319314388013
16,0.8173913043478261,0.737166027664425,0.9246376811594202,0.9122941569295961,0.8695652173913043,0.8606097211611917,0.9768115942028985,0.9777284987914157,0.927536231884058,0.9323061416087561
