loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,base_model_validate_accuracy_C,base_model_train_f1_score_C,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.8608695652173913,0.8552025801386182,0.8144927536231884,0.8115526969198449,0.9043478260869565,0.9171979926786104,0.9594202898550724,0.959010827086937,0.9507246376811594,0.9504779613340009
2,0.922360248447205,0.934281102271417,0.8136645962732919,0.8261936706704148,0.7608695652173914,0.7398160173160173,0.9440993788819876,0.9430972738881794,0.9285714285714286,0.9269582493863284
3,0.8144927536231884,0.8213778216857035,0.8057971014492754,0.7980545849345466,0.8376811594202899,0.8552447552447553,0.936231884057971,0.9354355512696882,0.8985507246376812,0.8971541279233588
4,0.8869565217391304,0.8915234422641125,0.8144927536231884,0.818521379491243,0.8985507246376812,0.9082562998607067,0.9507246376811594,0.9499123211067744,0.936231884057971,0.935269066976384
5,0.7732919254658385,0.7941067876326501,0.7608695652173914,0.761665366713983,0.7919254658385093,0.8198503624035539,0.8322981366459627,0.8322720235763714,0.8043478260869565,0.8052666444298588
6,0.8028985507246377,0.797224653854853,0.7768115942028986,0.7863482289407544,0.8840579710144928,0.9017094017094017,0.9536231884057971,0.9534703926335926,0.936231884057971,0.9362441471459853
7,0.8057971014492754,0.810836715299905,0.8144927536231884,0.8185557836229459,0.881159420289855,0.8930483842429506,0.9101449275362319,0.9071385494890414,0.8956521739130435,0.8936560372143195
8,0.8318840579710145,0.8132939878115216,0.7623188405797101,0.7510337577212212,0.9014492753623189,0.9099977484167058,0.863768115942029,0.8610106166559082,0.8463768115942029,0.8436036517227917
9,0.782608695652174,0.7901862851209489,0.8666666666666667,0.8750853281664341,0.8260869565217391,0.8538410845415176,0.8840579710144928,0.8800676178784891,0.8579710144927536,0.8509556399329414
10,0.7942028985507247,0.7715224734386716,0.8405797101449275,0.8582460699917716,0.8028985507246377,0.8313074645472962,0.9623188405797102,0.9620237186338882,0.8927536231884058,0.8929130479746341
11,0.8521739130434782,0.8571679313968803,0.8231884057971014,0.8298095214922538,0.7275362318840579,0.7691657158870273,0.9594202898550724,0.9594859247033161,0.9043478260869565,0.9045185589732987
12,0.8463768115942029,0.8643943430775101,0.7594202898550725,0.7458458211490888,0.8347826086956521,0.849690437972942,0.8608695652173913,0.851967841909847,0.7739130434782608,0.7681094546554851
13,0.8115942028985508,0.8203530567396512,0.7797101449275362,0.7625313948075141,0.8202898550724638,0.828920692364414,0.9246376811594202,0.9238933109900853,0.8927536231884058,0.8909709733826272
14,0.8463768115942029,0.8487317771223406,0.8434782608695652,0.8449787168242537,0.8840579710144928,0.8877197093977033,0.9246376811594202,0.922609819121447,0.9217391304347826,0.9194905114334215
15,0.8347826086956521,0.8452833096351866,0.8,0.8137797911757534,0.9246376811594202,0.9366644699679909,0.9072463768115943,0.9060692536597197,0.8869565217391304,0.885398247312123
16,0.672463768115942,0.6281299585897288,0.7420289855072464,0.7384864577996902,0.6927536231884058,0.6860101957107699,0.8869565217391304,0.882681355558097,0.8782608695652174,0.8735445766203455
17,0.8173913043478261,0.8115502870750962,0.7594202898550725,0.7428585435546902,0.6260869565217392,0.4540026538088545,0.808695652173913,0.7747011869004005,0.7884057971014493,0.7523824568968588
18,0.9101449275362319,0.905892368419964,0.8492753623188406,0.8663071083951764,0.8782608695652174,0.8805724936018693,0.9594202898550724,0.9590159040601016,0.9478260869565217,0.9471769390839095
19,0.7797101449275362,0.7499228021661482,0.7072463768115942,0.6917701863354037,0.8144927536231884,0.8188189700837805,0.8898550724637682,0.8842387367811096,0.8782608695652174,0.873946053946054
20,0.8347826086956521,0.8275970497184313,0.863768115942029,0.86344277988946,0.8521739130434782,0.8573844260352608,0.9652173913043478,0.9648132814708954,0.9710144927536232,0.9706686894894381
21,0.8521739130434782,0.8659416371247171,0.8144927536231884,0.802152398305799,0.881159420289855,0.8967141292442498,0.9101449275362319,0.9067696267696268,0.8782608695652174,0.8732827897896693
22,0.7188405797101449,0.7170434534513114,0.8289855072463768,0.8415273421158446,0.8492753623188406,0.8722222222222222,0.9188405797101449,0.9177808096490174,0.9043478260869565,0.9030606908781827
23,0.8757763975155279,0.8874171463457178,0.6801242236024845,0.7214587775728227,0.8260869565217391,0.8476641040804258,0.9875776397515528,0.9875412861587977,0.9596273291925466,0.9595421957213798
