loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,gate_acc,gate_f1_weight,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
0,0.8115132377945106,0.8194764927132943,0.7646344425552587,0.7549840119994833,0.7860671936758893,0.7866941442146249,0.8611660079051383,0.8538635283375918,0.8591897233201581,0.8528378059489794
1,0.7982413287738154,0.7982316643525826,0.7955544699560332,0.7867023428169533,0.7843089628370172,0.784679488198462,0.8467330580519796,0.8384506442290229,0.847947534612582,0.8405307785506421
2,0.8065461651196874,0.8074800530003269,0.752076209086468,0.7337255758245225,0.8149758454106281,0.8150034912582075,0.8507246376811595,0.8433480309229459,0.8439613526570048,0.8368160388323164
3,0.8031265266243283,0.8092419284973202,0.7691744015632633,0.7592185970151544,0.7929841897233202,0.7935488745586821,0.8495553359683794,0.840105257223551,0.8502964426877471,0.8426013476480024
4,0.7478746660189458,0.7329262055904922,0.7639057566188973,0.7496286833489597,0.8233695652173914,0.8228145630898417,0.8411561264822134,0.8278728682452543,0.8396739130434783,0.827058835783072
5,0.7569169960474308,0.7643549175060967,0.7860671936758893,0.7843465671586154,0.8004830917874396,0.8007114566450606,0.8473429951690822,0.8369505749576309,0.8432367149758454,0.83307981119082
6,0.7904250122129947,0.7869624944135236,0.7633121641426478,0.7453733095554654,0.8280301190187029,0.8279421980719541,0.8321593393247511,0.8199708478184238,0.8314306533883896,0.8206432022152401
7,0.8080117244748413,0.8132841515820685,0.7860283341475329,0.7772338858363932,0.7838368951117661,0.7843758536395733,0.8255956767379022,0.8140169346512117,0.82436747727831,0.8140239126872876
8,0.7928102987612339,0.8015604154020662,0.770949720670391,0.7521209511206401,0.782608695652174,0.7832273173846268,0.8605276013678554,0.8547041474844779,0.8575964826575476,0.8524853115916285
9,0.8050724637681159,0.807571059533476,0.7794685990338164,0.7669291251375034,0.8205314009661836,0.820336916946207,0.8478260869565217,0.8402287924266548,0.8446859903381643,0.8381650043962399
10,0.7911577918905716,0.7900377435570499,0.7716170004885198,0.7557222335685747,0.7956276099238516,0.7956380035450171,0.8479489069024809,0.8395478238780345,0.8479489069024809,0.8416070267002989
11,0.7966897233201581,0.8036143850053544,0.7707509881422925,0.7678295991061093,0.7971014492753623,0.7977595130302839,0.8481945467943994,0.8405756619553053,0.8521247850650946,0.8455803077310181
12,0.7918905715681485,0.795609616545577,0.7926233512457255,0.7923578686516897,0.8229468599033817,0.8234024989182485,0.8461352657004831,0.837907645428664,0.8521739130434782,0.845382088843351
13,0.7651202331794996,0.7544967964909143,0.7818800097158125,0.7604280318586413,0.7881642512077295,0.7888984535489889,0.8270531400966183,0.8129867162532618,0.8205314009661836,0.8068689739254075
14,0.7984189723320159,0.7964772751595689,0.7690217391304348,0.7497328109798529,0.8045893719806764,0.8056909367480384,0.8444444444444444,0.8364594537730018,0.8311594202898551,0.8233218238740309
15,0.7921886514369934,0.7930570195653828,0.8022598870056498,0.7988775736378968,0.7992183683439179,0.799658628750514,0.8571079628724964,0.8476325923582474,0.857352222765022,0.8490834611919874
16,0.781637114403692,0.7790957766307856,0.762205489434054,0.7414813273998697,0.7993122083026284,0.799916926078802,0.8508965856055023,0.8431883462190632,0.8486858265782363,0.8418001522077229
17,0.7964537284430411,0.8030539177854277,0.7813942190915716,0.7742832879620635,0.8141182217879824,0.8145362002214276,0.8444064484611626,0.8351047445797677,0.8463605276013678,0.838456845218305
18,0.7845962732919255,0.7883924019979485,0.7890683229813664,0.7805633932880696,0.8048309178743961,0.8039617985267167,0.8422705314009662,0.8325076597642446,0.8379227053140097,0.829369858314482
19,0.8063019052271617,0.811682946023996,0.7916463116756228,0.7831273024888956,0.8136297020029312,0.8140678669578156,0.8644357596482658,0.8550991350318687,0.8690766976062531,0.8620402287522355
20,0.8049619258167526,0.8089783576384316,0.7661508228936379,0.7634633298552537,0.7907608695652174,0.7918089799392042,0.8530138339920948,0.8449751145586889,0.8458498023715415,0.8392392870206616
21,0.8165070007369197,0.8271369544412585,0.7899778924097274,0.7808229354632181,0.7691744015632633,0.7690799662754736,0.8339032730825598,0.8217850017261134,0.8295065950170982,0.8181365851077401
22,0.7928676111382511,0.7895237999879673,0.7774792379091353,0.7608238798385589,0.7952392518824387,0.7956815188281778,0.8443041049307748,0.8356270461888338,0.8445470002428953,0.8374001797471743
23,0.7716784066067525,0.7734029414407588,0.7864950206461016,0.7819891883418102,0.7850790513833992,0.7856748356770432,0.8364624505928854,0.8281056579386645,0.8342391304347826,0.8277390639244419
24,0.7962872496336102,0.7984737482852811,0.7711284807034685,0.7599511090693643,0.7719861660079052,0.7719985363938426,0.8715415019762845,0.8637858152907891,0.8742588932806324,0.8675698822553303
25,0.7809178743961352,0.7795993564181154,0.7830917874396135,0.7810361682345283,0.8285573122529645,0.8286999685164885,0.8638833992094862,0.8563160858421243,0.8658596837944664,0.8597603017378669
26,0.8195287830944863,0.8310061395947543,0.7864950206461016,0.7758951460772444,0.7904691721935643,0.7906455355674156,0.8612134610660771,0.8546341895300225,0.8577745025792188,0.8512797873380954
27,0.8163165608207132,0.8250004752137157,0.7848070346849048,0.7737119260130663,0.7781871775976419,0.7785222553048247,0.8585114222549742,0.847556071141691,0.8599852616064849,0.8509745464372227
28,0.755647316006801,0.7410445244418694,0.7388875394704882,0.7189795799515614,0.8182264799803488,0.8189615322701482,0.8698108572832228,0.8642106103866061,0.8703021370670597,0.8652882348010424
29,0.819454679439941,0.8241652356392667,0.7887496929501351,0.7796824363240622,0.8217148409035706,0.8218806826889932,0.8443041049307748,0.8335938508779143,0.842846733058052,0.8342798742638011
mean,0.7933053597459825,0.7951646264818224,0.7772300380038186,0.7663674059308008,0.8002043214444561,0.8005272980598234,0.8490876288963645,0.8400370283006559,0.847696414351448,0.8397806852745481
std,0.01878484451354838,0.02398070759386019,0.013857743558858191,0.018256422169133587,0.017025502453040596,0.01692295213591909,0.011626589300452397,0.013164643836924646,0.013391541811641603,0.014897536060157974
