loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
1,0.8608695652173913,0.8617002134005134,0.8057971014492754,0.7948741312491884,0.8724637681159421,0.8613273190542765,0.8753623188405797,0.8640736308931751
2,0.906832298136646,0.920963754494933,0.8043478260869565,0.8328291244712216,0.9472049689440993,0.9460130823512681,0.9006211180124224,0.8993668669845848
3,0.8,0.7853629422221062,0.7942028985507247,0.7829770861833105,0.8144927536231884,0.7944962911079851,0.8,0.7833718994844315
4,0.8840579710144928,0.8935384551047825,0.8869565217391304,0.891114289267504,0.9710144927536232,0.9708267701238413,0.9652173913043478,0.9649902885100927
5,0.8416149068322981,0.8542336314689598,0.7484472049689441,0.7540698097763316,0.8509316770186336,0.8444513723332722,0.8695652173913043,0.8626446891193621
6,0.7507246376811594,0.7687284672854535,0.7855072463768116,0.799989947421692,0.8869565217391304,0.8819785904117114,0.8666666666666667,0.8616776665657627
7,0.7855072463768116,0.7886873469471717,0.8057971014492754,0.8126012390673313,0.8608695652173913,0.8554645980057475,0.8318840579710145,0.8257354225927546
8,0.8057971014492754,0.7830996899763301,0.7391304347826086,0.7029040404040404,0.8492753623188406,0.8450169295781361,0.8231884057971014,0.8185485895659046
9,0.8231884057971014,0.8178463606286187,0.8608695652173913,0.8679948753337255,0.8956521739130435,0.8875352640011146,0.8985507246376812,0.8926830464092705
10,0.8144927536231884,0.7965739037227153,0.8434782608695652,0.8469584795666465,0.8869565217391304,0.8812673428620186,0.8666666666666667,0.8632369018645832
11,0.881159420289855,0.8822316627958643,0.7739130434782608,0.7608155817350863,0.9565217391304348,0.9564646590169149,0.9188405797101449,0.9181337492365133
12,0.8115942028985508,0.8328472976625415,0.7797101449275362,0.7655970278073161,0.8695652173913043,0.8603726240210049,0.8521739130434782,0.8452657079044705
13,0.8,0.7992902792649449,0.7681159420289855,0.7638850012560046,0.8840579710144928,0.8804440892810644,0.863768115942029,0.8593760993345281
14,0.8521739130434782,0.8543529455698228,0.8057971014492754,0.8128577130034076,0.8927536231884058,0.8837273211101275,0.8985507246376812,0.8929884929884929
15,0.8028985507246377,0.8162720563018212,0.8173913043478261,0.8330351683932247,0.863768115942029,0.8546385547919052,0.8492753623188406,0.8424780125874316
16,0.7188405797101449,0.6910174280323247,0.7623188405797101,0.7542777288899927,0.8463768115942029,0.8366927330473856,0.8115942028985508,0.8012529775750601
17,0.8608695652173913,0.8606123751053328,0.6666666666666666,0.6603667704006324,0.8202898550724638,0.793787932295496,0.8,0.7714420651981723
18,0.8869565217391304,0.8924963241084914,0.8724637681159421,0.8752383397993536,0.9681159420289855,0.9676798780441874,0.9536231884057971,0.9527104337011458
19,0.7623188405797101,0.7382344340463972,0.7159420289855073,0.7162972247877908,0.8057971014492754,0.7983806663537221,0.7797101449275362,0.7720481899961443
20,0.8,0.7904489992917003,0.8434782608695652,0.832251564091372,0.936231884057971,0.9356231684289449,0.927536231884058,0.9266603830286394
21,0.8463768115942029,0.8332378198461892,0.808695652173913,0.7991930222926351,0.9101449275362319,0.9090219986730111,0.9043478260869565,0.90169221705015
22,0.7739130434782608,0.7724740358544631,0.8173913043478261,0.8143163546673524,0.9159420289855073,0.9150037979209251,0.8956521739130435,0.8944886797770504
23,0.8788819875776398,0.8886989937482157,0.6708074534161491,0.7101891598879514,0.8726708074534162,0.86853451998336,0.8478260869565217,0.844797302075363
24,0.8985507246376812,0.9055070976445357,0.8405797101449275,0.8437790968342643,0.9420289855072463,0.9406366886004895,0.9217391304347826,0.9185482462930672
25,0.22028985507246376,0.19544330726294049,0.46956521739130436,0.42520005619915857,0.2608695652173913,0.2471554307761204,0.24347826086956523,0.23066241211553307
26,0.6956521739130435,0.7126220235881916,0.5855072463768116,0.611027890688439,0.7739130434782608,0.7784425975482493,0.7072463768115942,0.7129718328088491
27,0.8260869565217391,0.8451514961097718,0.7333333333333333,0.7389044093153285,0.7971014492753623,0.7974393006051766,0.7565217391304347,0.7550880710597981
28,0.8579710144927536,0.856292529977728,0.8028985507246377,0.8120958876150672,0.9217391304347826,0.9191058199200779,0.9101449275362319,0.9061329611261214
29,0.7565217391304347,0.7502808988764046,0.7855072463768116,0.8023591848897772,0.8028985507246377,0.7887530047786488,0.7942028985507247,0.779987351541104
30,0.8724637681159421,0.8831500240281256,0.7739130434782608,0.7441878625613566,0.8318840579710145,0.8170222501244557,0.8173913043478261,0.8015639403996654
31,0.9188405797101449,0.9181107914667399,0.7971014492753623,0.802130114941478,0.9130434782608695,0.9124376365626987,0.8898550724637682,0.8887304882922732
32,0.8956521739130435,0.905182097301615,0.8,0.8175004821787931,0.9014492753623189,0.901100261201527,0.9014492753623189,0.9011872985422957
33,0.7888198757763976,0.737830885403701,0.6521739130434783,0.564111121217243,0.7919254658385093,0.7779682795776371,0.7701863354037267,0.7499408652349828
34,0.8231884057971014,0.8067404016751123,0.8492753623188406,0.8564397174477777,0.8753623188405797,0.8731843222458529,0.8202898550724638,0.813991823969486
35,0.8753623188405797,0.8679714164125234,0.8318840579710145,0.8243718738358263,0.9014492753623189,0.9013987391646966,0.8521739130434782,0.8530228880670536
36,0.8115942028985508,0.8059833141405321,0.7884057971014493,0.7879273504273504,0.9043478260869565,0.9069301045488664,0.8985507246376812,0.9007048472289978
37,0.855072463768116,0.8452234859275816,0.8144927536231884,0.8186822617940609,0.9304347826086956,0.9295638550514745,0.8782608695652174,0.8750442689203131
38,0.8434782608695652,0.8368476859525876,0.8202898550724638,0.8229930465224583,0.8521739130434782,0.8450586617590489,0.8318840579710145,0.8267963330295421
39,0.7913043478260869,0.7877401654624376,0.7768115942028986,0.792044318249378,0.8347826086956521,0.829721503030979,0.8289855072463768,0.8248051426217217
40,0.782608695652174,0.7885579631800268,0.863768115942029,0.870222271631733,0.863768115942029,0.8528214939822083,0.8695652173913043,0.8601528540877004
41,0.8492753623188406,0.8527593854985485,0.7971014492753623,0.8082515648553384,0.9652173913043478,0.964843587882851,0.9681159420289855,0.9678459282422366
42,0.8695652173913043,0.8715453265945877,0.5942028985507246,0.6334556549662498,0.9014492753623189,0.9006954037977424,0.863768115942029,0.860646352106307
