loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,base_model_validate_accuracy_C,base_model_train_f1_score_C,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
45,0.7670807453416149,0.6799916299879668,0.5652173913043478,0.5027601807112695,0.5962732919254659,0.5492959391741176,0.8571428571428571,0.833980711753296,0.8105590062111802,0.7887434008780596
46,0.8074534161490683,0.803458239465621,0.6583850931677019,0.6473117105333757,0.7080745341614907,0.6634779518512584,0.9409937888198758,0.9401756888327248,0.9037267080745341,0.9003954080589046
47,0.705685618729097,0.662146344931296,0.7190635451505016,0.688449653868854,0.5986622073578596,0.5137003046704539,0.7993311036789298,0.7516990508954535,0.7692307692307693,0.7270955912186021
48,0.7739130434782608,0.7640490533044892,0.6115942028985507,0.5778363915080021,0.5681159420289855,0.5515632620964168,0.855072463768116,0.8403789586571535,0.8347826086956521,0.8171859378483181
49,0.7942028985507247,0.7704618346283525,0.6753623188405797,0.6601668387471341,0.744927536231884,0.7257100536752131,0.9536231884057971,0.9519563614291715,0.9217391304347826,0.920582707010218
50,0.7652173913043478,0.7451114696273647,0.5884057971014492,0.5280570100641329,0.6811594202898551,0.6441474326293697,0.8492753623188406,0.8271187548483486,0.8028985507246377,0.7789521511072404
51,0.8144927536231884,0.7981154424174467,0.6086956521739131,0.5727418641441863,0.7130434782608696,0.6690414943389545,0.8985507246376812,0.8869098886120163,0.8695652173913043,0.8582322815213181
52,0.7043478260869566,0.684550929226607,0.6695652173913044,0.6368932789302197,0.6579710144927536,0.6333317879218375,0.8724637681159421,0.8521341860790965,0.8521739130434782,0.8321602738074799
53,0.7971014492753623,0.7882293425605433,0.6405797101449275,0.6350000978118113,0.6666666666666666,0.6343580881481866,0.8840579710144928,0.8614603376058902,0.8318840579710145,0.8094996341966352
54,0.5478260869565217,0.5230665343831302,0.4956521739130435,0.4249341588111971,0.6869565217391305,0.6521353540316598,0.7246376811594203,0.696264899690801,0.6608695652173913,0.6085936251309078
55,0.3217391304347826,0.2931723114915662,0.6,0.5514897823754296,0.527536231884058,0.5055059831275828,0.5565217391304348,0.527540733938509,0.5043478260869565,0.47448507512553256
56,0.7080745341614907,0.6684739081644864,0.5745341614906833,0.5442427657239038,0.5683229813664596,0.5413416849004129,0.8260869565217391,0.8174759737746755,0.7888198757763976,0.7841162162103579
mean,0.7122909698996656,0.6913558582021839,0.6072022956339725,0.5725980544296515,0.6313573589971107,0.5957634811741163,0.820599560894592,0.8033043404002596,0.7772714604236344,0.7566276643331139
std,0.13369289121495795,0.13626312474093144,0.09315519728817581,0.09856678627845666,0.10284396636369875,0.11234419471200296,0.12613044106825502,0.13274564875521003,0.1261188363919039,0.13284400519902612
