loop,base_model_validate_accuracy_PI,base_model_validate_f1_score_PI,base_model_validate_accuracy_M,base_model_train_f1_score_M,gate_acc,gate_f1_weight,moe_acc_soft,moe_f1_weight_soft,moe_acc_hard,moe_f1_weight_hard
0,0.5973429951690822,0.5923123238639815,0.7103864734299516,0.7060005618912186,0.6575779906656841,0.6557393229726058,0.9503807418324736,0.9504323520401841,0.9204126750184229,0.9202885994263719
1,0.6222058462294277,0.6197149887358004,0.7519037091623679,0.7512734681968276,0.6057479734708917,0.602481647200921,0.9403095062638173,0.9402831606381472,0.9103414394497666,0.9098465306025807
2,0.60942843185149,0.5966169365483324,0.7259404005862238,0.7225598075860806,0.6529025989798397,0.647832315988701,0.9621083313092057,0.961970499768266,0.9404906485304834,0.9403814145102826
3,0.5647316006801069,0.5369070047591692,0.7024532426524168,0.7009478765127647,0.6333659013190034,0.6291752196872312,0.95847581827064,0.9585655263769166,0.9416218856863703,0.9417720985321731
4,0.6214689265536724,0.6190726238988301,0.7430606730533038,0.7419576864040007,0.6737902235323017,0.6734319391420744,0.9498894620486367,0.9497913118739955,0.9260623925325473,0.9260347360041817
5,0.6270531400966184,0.6228439334653791,0.5618357487922705,0.5661336868572168,0.6298206828788996,0.6226214406668605,0.9292557111274871,0.9289610665588006,0.9007614836649472,0.9004877024999606
6,0.613580850024426,0.6116755520722048,0.6910112359550562,0.6885680463339271,0.6514369933677229,0.6505357003444175,0.9302382706951609,0.929895977687779,0.8992876443134366,0.8983140841445298
7,0.6099169516365412,0.5917631020815737,0.7073766487542745,0.7054025637061733,0.6236796855809383,0.6091169536235576,0.9285187914517318,0.9288415137517136,0.9189388356669123,0.91916048566465
8,0.6731884057971015,0.6581289867722367,0.6951690821256039,0.6911574331204899,0.6602344894968246,0.6516965906175594,0.9574987787005373,0.9574603976608106,0.9377137274059599,0.9376375931886597
9,0.6201758671226185,0.6132595843042684,0.7027357107962873,0.6980000356387693,0.6438690766976063,0.6432493741366071,0.9264777723497801,0.9259996711674172,0.8847093307278945,0.8837031373940581
10,0.6252470355731226,0.6247340513075673,0.7122035573122529,0.7121091409837975,0.6448047162859248,0.6365262197463818,0.955539179562761,0.9553330198590171,0.9385900270203881,0.9382812793527019
11,0.6362970200293112,0.6405184110176735,0.7071323888617489,0.7074112545697834,0.6627364283959715,0.6609925620290515,0.9491525423728814,0.9492064176731468,0.924834193072955,0.9246005735294591
12,0.622942765905183,0.6073160770501619,0.7015475313190862,0.6981107231071471,0.644887053679864,0.6480987719695226,0.9441340782122905,0.944326876073677,0.9222735001214477,0.9225170117306224
13,0.6135265700483091,0.5999334757199701,0.6780193236714975,0.6761508524715614,0.6070048309178744,0.6051448290861319,0.9379227053140097,0.9378029628324502,0.9101449275362319,0.910055870205566
14,0.5622862725940401,0.5512606029600994,0.6941866145578895,0.6919792556936989,0.6404494382022472,0.6380209222202791,0.9553004396678065,0.9550813618035315,0.9267220322423058,0.9267459263772101
15,0.5649717514124294,0.5546326491732558,0.6728076639646279,0.672155442724929,0.6561264822134387,0.6489374888102354,0.9167490118577075,0.9168864509127836,0.8754940711462451,0.8756279732923202
16,0.6113675006072383,0.601256350273834,0.7369443769735244,0.7348631579523299,0.6735445836403832,0.6731266659403234,0.9599606976172931,0.9600158534346281,0.9349054286416114,0.9354679631801365
17,0.6612115290669273,0.6563526046497711,0.727894479726429,0.7243580182224831,0.636698599852616,0.6358134631783627,0.9292557111274871,0.929662152443247,0.9142716777204618,0.91441753091481
18,0.6191988275525159,0.6170461764289128,0.7198339032730826,0.7208431729576409,0.6453346360527601,0.6407817116464987,0.9506595017098193,0.9512530800440246,0.9338055691255496,0.9343676208004257
19,0.6089412920658315,0.604881669829863,0.7116187668877426,0.7110626896345589,0.6726917440156326,0.6677685123104115,0.9501709819247679,0.9502583084292016,0.9335613092330239,0.9339351033376352
20,0.5716040284942274,0.5639602745120311,0.7516580692704495,0.751419046369928,0.6521739130434783,0.6527448959288329,0.9290100712355687,0.9290938862605813,0.8980594448538443,0.8977955260328135
21,0.6099450274862569,0.6102525667401193,0.743128435782109,0.7466305732987452,0.6577294685990338,0.6573434954363075,0.9442028985507246,0.9439815784076061,0.9364734299516908,0.9363481725638623
22,0.6308032424465734,0.6223638217251032,0.7442888725128961,0.7433753536548198,0.6567632850241546,0.6580504988865576,0.9582125603864734,0.9579105247932044,0.9408212560386473,0.940612207927
23,0.5547728928831673,0.5506818260628301,0.7000242895312121,0.6992909387089562,0.649987855234394,0.6484486597741752,0.9441340782122905,0.9442671054394228,0.9220306048093272,0.9223976253501597
24,0.6193830459072139,0.6040079917425288,0.7371872722856448,0.7330939776431984,0.6355072463768116,0.6347239821944463,0.9495169082125604,0.9492770571192185,0.9285024154589372,0.9282103725511388
25,0.6072382803011902,0.58778623897035,0.721884867622055,0.7192753597266132,0.6191401505950935,0.6198235258544922,0.9293174641729415,0.9296081101526342,0.8972552829730386,0.8977996233514728
26,0.5904785037648773,0.5784265734312546,0.675491863007044,0.6672068649827061,0.6193830459072139,0.6156716056833611,0.96429438911829,0.9645553841267155,0.9489919844547,0.9494326920896716
27,0.6072300928187592,0.6031712593350496,0.7247191011235955,0.7251123879017406,0.604080641243624,0.603966561260334,0.918872965751761,0.9203769984611282,0.8843818314306534,0.8864861073499088
28,0.5835368832437714,0.5756068724901008,0.6805080605764533,0.6802075349514033,0.6255495847581827,0.6271769515926604,0.9330727894479727,0.9335829107993818,0.9147532975085491,0.9158798396418059
29,0.6504736458586349,0.6444231074529114,0.6975953364100073,0.6960666091288681,0.6327422880738401,0.6303012583504489,0.953606995384989,0.953888160464839,0.9271314063638572,0.9272836741405789
mean,0.6103516407740222,0.6020302545791723,0.7076849233325702,0.7060907840310793,0.6423253869367417,0.639644769542645,0.9435413051296622,0.9436189892351491,0.9197781250900068,0.9198629691895585
std,0.028030008731392084,0.03036489505697585,0.03566992650113354,0.03535239727522775,0.019492694218544535,0.020008350818387144,0.013525319045658804,0.01342024565752666,0.019000781107015603,0.018996735683060408
