loop,base_model_accuracy_PI,base_model_f1_score_PI,base_model_accuracy_M,base_model_f1_score_M,base_model_accuracy_C,base_model_f1_score_C,meta_model_accuracy,meta_model_f1_score
1,0.8956521739130435,0.8425312628392654,0.9478260869565217,0.9261942614883791,0.9072463768115943,0.9059315499827705,0.9942028985507246,0.9908855894008197
2,0.8198757763975155,0.6964485186897506,0.9440993788819876,0.919223883885538,0.7857142857142857,0.7109015266508297,0.7453416149068323,0.7153717629553376
3,0.8695652173913043,0.7892530345471522,0.9014492753623189,0.8479099578840663,0.9565217391304348,0.9389198121180024,0.991304347826087,0.9851714558585689
4,0.8869565217391304,0.8491510729413956,0.9536231884057971,0.9297464227229619,1.0,1.0,0.9971014492753624,0.9965465465465466
5,0.7950310559006211,0.6285653471875332,0.8850931677018633,0.804339654756712,0.7360248447204969,0.7707487239171481,0.8695652173913043,0.7343402605850542
6,0.7304347826086957,0.6564995174354605,0.9101449275362319,0.8918736311129946,0.8985507246376812,0.8309230806860909,0.9855072463768116,0.9795076543373438
7,0.8521739130434782,0.7964050946114898,0.9565217391304348,0.9388819690887049,0.9594202898550724,0.9288692010309278,0.9855072463768116,0.9844014713041597
8,0.8405797101449275,0.7846230296981809,0.8434782608695652,0.735689473924768,0.936231884057971,0.9286511244398674,0.9855072463768116,0.9769358832918258
9,0.8376811594202899,0.768703725851389,0.9217391304347826,0.8843743066172239,0.9768115942028985,0.9703575644582221,0.9884057971014493,0.9831821430534938
10,0.8318840579710145,0.6918898122377806,0.9246376811594202,0.8686978307525117,0.9797101449275363,0.9756613756613757,0.9739130434782609,0.9627385752156008
11,0.744927536231884,0.6994911412697998,0.9159420289855073,0.898849557321232,0.8347826086956521,0.7543091035878366,0.9681159420289855,0.9662366976108245
12,0.8695652173913043,0.7668899030009074,0.8666666666666667,0.8511446436283427,0.8753623188405797,0.7923717961159141,0.9681159420289855,0.9599091327352197
13,0.7565217391304347,0.631993530034066,0.8927536231884058,0.8277382202299929,0.9159420289855073,0.8664933014284275,0.9449275362318841,0.9134480246608601
14,0.782608695652174,0.7307949947575585,0.9391304347826087,0.9104988517921019,0.9130434782608695,0.8181975257446956,1.0,1.0
15,0.7623188405797101,0.7452732823589383,0.9101449275362319,0.8702882272695862,0.9768115942028985,0.9685741341991343,0.9797101449275363,0.9777914567036465
16,0.7942028985507247,0.7052241968695407,0.9420289855072463,0.9275537894682928,0.8028985507246377,0.789281913055498,0.9971014492753624,0.9966573654226252
17,0.8144927536231884,0.7157583666431865,0.7971014492753623,0.6811092238156645,0.6057971014492753,0.41030667347355815,0.7014492753623188,0.645733524362158
18,0.8753623188405797,0.8460150545971441,0.9536231884057971,0.928615481652959,0.9507246376811594,0.9339002646993699,0.9884057971014493,0.9851660418459033
19,0.8173913043478261,0.7073922799783572,0.8405797101449275,0.8140564224110742,0.9739130434782609,0.9692435002385098,0.9623188405797102,0.9355511601981435
20,0.8318840579710145,0.7872385690452823,0.8463768115942029,0.7774013967718312,0.736231884057971,0.7475159547624718,0.9304347826086956,0.9292078723297972
21,0.8869565217391304,0.8640265744400645,0.9449275362318841,0.9211228698671956,0.9855072463768116,0.9835936938878116,0.9855072463768116,0.9856345525668428
22,0.7710144927536232,0.7196979816841346,0.9536231884057971,0.9461363641137203,1.0,1.0,0.9420289855072463,0.934216121612642
23,0.9099378881987578,0.8726855582618864,0.9099378881987578,0.907527141455713,0.9720496894409938,0.9674572749383888,0.9937888198757764,0.8693181818181819
24,0.8753623188405797,0.7653499278499278,0.927536231884058,0.8953198512203189,0.9304347826086956,0.874061183323581,0.9507246376811594,0.9200010655357574
25,0.15942028985507245,0.18502531373538872,0.5333333333333333,0.4476960571267754,0.3565217391304348,0.26571684911061116,0.36231884057971014,0.29361652623222967
26,0.8695652173913043,0.8149668270329182,0.8608695652173913,0.831211750054883,0.8869565217391304,0.8803647383041462,0.9652173913043478,0.9649811181726076
27,0.7304347826086957,0.6518583331250651,0.8347826086956521,0.7888154145248992,0.9333333333333333,0.9571428571428572,0.9159420289855073,0.9352183067581246
28,0.8695652173913043,0.8185902852715359,0.9594202898550724,0.951507365195996,0.9333333333333333,0.9230247175141243,0.936231884057971,0.9292932650340244
29,0.8231884057971014,0.7409850580280279,0.9101449275362319,0.8915103285171434,0.8782608695652174,0.8806321600028947,0.9942028985507246,0.9907593267745571
30,0.855072463768116,0.7840712871962872,0.8927536231884058,0.8039187700154011,0.927536231884058,0.8929157345264728,1.0,1.0
31,0.9130434782608695,0.8763320137672004,0.8985507246376812,0.8456805318404308,0.9710144927536232,0.9618346874444434,0.9971014492753624,0.9965465465465466
32,0.8695652173913043,0.8601995325384378,0.8463768115942029,0.8249277106211292,0.855072463768116,0.778911753800519,0.927536231884058,0.9266439613454539
33,0.7453416149068323,0.5281889199657113,0.8167701863354038,0.6790944166108117,0.8354037267080745,0.7045074654562065,0.8571428571428571,0.7321428571428572
