loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
1,0.6115942028985507,0.5941598432684935,0.5304347826086957,0.5153207284544833,0.7391304347826086,0.735326083124363
2,0.7546583850931677,0.7394552059235983,0.3385093167701863,0.27405200378620015,0.7484472049689441,0.7442629556060777
3,0.33043478260869563,0.2978900748333173,0.2985507246376812,0.27747656114340224,0.4289855072463768,0.3909836468658022
4,0.6782608695652174,0.6438087110048418,0.5884057971014492,0.561537823089271,0.8260869565217391,0.8078615022499439
5,0.3167701863354037,0.27822017027197704,0.22981366459627328,0.18086043915756914,0.40683229813664595,0.35966341766241827
6,0.25217391304347825,0.23951087078300576,0.45507246376811594,0.43327768151880763,0.6086956521739131,0.5802425792382615
7,0.5971014492753624,0.589131020893796,0.17971014492753623,0.15849963744696582,0.5449275362318841,0.5310431191956033
8,0.5623188405797102,0.5367274420235083,0.4,0.3493452256446275,0.7217391304347827,0.7028182345882532
9,0.5826086956521739,0.5526605825926035,0.4579710144927536,0.4286395330425519,0.6811594202898551,0.6666870035505656
10,0.47246376811594204,0.4310219780203567,0.4,0.38789343243124746,0.6115942028985507,0.5997600243323388
11,0.6753623188405797,0.6548895103601305,0.43768115942028984,0.4217588687254309,0.7391304347826086,0.7323693390110397
12,0.5072463768115942,0.48908143929930836,0.30434782608695654,0.2785854683216094,0.5420289855072464,0.537519945997436
13,0.3391304347826087,0.3061995276704252,0.40869565217391307,0.3553093690647223,0.5507246376811594,0.527434006166326
14,0.6057971014492753,0.580789048338352,0.4579710144927536,0.4141891508502454,0.7478260869565218,0.72745144406897
15,0.43478260869565216,0.40246505634047647,0.39420289855072466,0.37382555938569323,0.5362318840579711,0.5298871670925448
16,0.36231884057971014,0.3245370238729991,0.4985507246376812,0.443639576425375,0.5623188405797102,0.5090037506616195
17,0.6405797101449275,0.6074052134300458,0.22318840579710145,0.18066134094832903,0.6347826086956522,0.6096865260937736
18,0.7275362318840579,0.7191489366518087,0.5449275362318841,0.5095482926618353,0.8434782608695652,0.8423186149439644
19,0.6115942028985507,0.5888641370518398,0.2985507246376812,0.2615202878177032,0.6289855072463768,0.5949969091892918
20,0.4434782608695652,0.4273266230869561,0.3855072463768116,0.3639536384273715,0.6,0.5941584913441138
21,0.6608695652173913,0.6430186442742701,0.4666666666666667,0.42905511076573716,0.7159420289855073,0.7078181561844512
22,0.6086956521739131,0.6019023945810204,0.4,0.36227866163426276,0.6695652173913044,0.6639746528191262
23,0.6614906832298136,0.6366086896946367,0.4161490683229814,0.36077394156698767,0.6677018633540373,0.6290300365007795
24,0.6608695652173913,0.6409282304299879,0.553623188405797,0.5360062173235957,0.7913043478260869,0.7897601693795261
25,0.07246376811594203,0.08005072759859018,0.12173913043478261,0.08371597332254706,0.08405797101449275,0.0848212884226486
26,0.4927536231884058,0.49159264024013305,0.2956521739130435,0.2602622333795478,0.5101449275362319,0.5131468937878368
27,0.5507246376811594,0.5276995444642504,0.2782608695652174,0.23221925888126033,0.5971014492753624,0.5645205735694928
28,0.5884057971014492,0.5766917570811604,0.3391304347826087,0.31093274118620096,0.5884057971014492,0.5689876803091978
29,0.5246376811594203,0.5001608984588962,0.3507246376811594,0.31917295000352464,0.5884057971014492,0.5757696340641197
30,0.7275362318840579,0.7222792182282343,0.43768115942028984,0.36376340631112103,0.7710144927536232,0.7430923906525206
