loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,classifier_model_accuracy_C,classifier_model_f1_score_C,meta_model_accuracy,meta_model_f1_score
26,0.5217391304347826,0.5315939468352666,0.34202898550724636,0.31417438188602786,0.09565217391304348,0.02668038156815204,0.6521739130434783,0.6521410196239759
27,0.5565217391304348,0.5393133633459171,0.2579710144927536,0.21909596361770275,0.08985507246376812,0.06800294111468247,0.6927536231884058,0.6919266285433225
28,0.6521739130434783,0.6381563955646191,0.2811594202898551,0.25649922033822475,0.06376811594202898,0.023298856831790962,0.6956521739130435,0.688499914428257
29,0.5333333333333333,0.5183552406914941,0.3536231884057971,0.29641977178293794,0.05217391304347826,0.03551187671832179,0.7246376811594203,0.7133465214888189
30,0.7130434782608696,0.6896093235475768,0.3652173913043478,0.3246258790601423,0.10434782608695652,0.06569660636391814,0.8289855072463768,0.8154641826947341
31,0.6956521739130435,0.6879497473723187,0.2753623188405797,0.226315934667934,0.08405797101449275,0.03360800515203429,0.7478260869565218,0.7368671340577454
32,0.7101449275362319,0.6955381655183314,0.41739130434782606,0.37789017099324934,0.11014492753623188,0.0560452413083992,0.6521739130434783,0.6264844448949055
33,0.531055900621118,0.47713568745516105,0.2857142857142857,0.24022294084793297,0.1956521739130435,0.10812287128076602,0.6894409937888198,0.6165275816727843
34,0.4028985507246377,0.36375720715543297,0.5652173913043478,0.5467044387536182,0.07246376811594203,0.02310747928725457,0.7246376811594203,0.7116455118491285
35,0.30434782608695654,0.2711709301256046,0.4753623188405797,0.4078885807814679,0.09855072463768116,0.046788379480173115,0.6782608695652174,0.6625003399403204
36,0.4666666666666667,0.42178450497758474,0.45507246376811594,0.4111319395959594,0.08115942028985507,0.024959643218692713,0.5594202898550724,0.5371210641210642
37,0.6463768115942029,0.6314504057297788,0.45217391304347826,0.4251656615146281,0.09855072463768116,0.03448696497556732,0.7855072463768116,0.7801980398422258
38,0.3072463768115942,0.25448533596445594,0.4811594202898551,0.421913238990585,0.11014492753623188,0.05844501656847735,0.7130434782608696,0.7139596706369477
39,0.5652173913043478,0.5454974861214753,0.2985507246376812,0.2655718946360054,0.06666666666666667,0.00847145488029466,0.591304347826087,0.5878203764881439
40,0.5420289855072464,0.5123373418639804,0.42028985507246375,0.3799132032908522,0.06956521739130435,0.02481380712891967,0.7420289855072464,0.7279578185243728
41,0.6811594202898551,0.6735370654278316,0.6434782608695652,0.6378836719813585,0.06956521739130435,0.01879120879120879,0.8202898550724638,0.8114765460722004
42,0.6434782608695652,0.6243434242443243,0.2753623188405797,0.2438541485164494,0.05507246376811594,0.033828537997032955,0.7333333333333333,0.7144832619469665
43,0.593167701863354,0.5349249683953956,0.4503105590062112,0.3747029908737689,0.07763975155279502,0.04339896716995128,0.8198757763975155,0.8141821693577445
44,0.2782608695652174,0.268833552500288,0.3884057971014493,0.331689877048696,0.06666666666666667,0.009523809523809523,0.6231884057971014,0.6134796198265715
45,0.6335403726708074,0.6043904744794635,0.40372670807453415,0.3313114837368209,0.10248447204968944,0.03276059564719359,0.717391304347826,0.6333949512749252
46,0.7142857142857143,0.7029664270352658,0.45962732919254656,0.45479794174881544,0.07142857142857142,0.01953746535045591,0.8757763975155279,0.8750879907314877
47,0.5384615384615384,0.4676917256087768,0.5117056856187291,0.46042071421061687,0.06020066889632107,0.03981828127938185,0.7123745819397993,0.6470527509249313
48,0.6405797101449275,0.6154702869353381,0.4811594202898551,0.42736588764676886,0.11014492753623188,0.0635939994109404,0.8405797101449275,0.8315779513424442
49,0.6318840579710145,0.6064405381705983,0.4492753623188406,0.43092478030313247,0.07246376811594203,0.015910800407061634,0.8608695652173913,0.8601142327302219
50,0.6579710144927536,0.6264044746848931,0.35942028985507246,0.3275447062138669,0.11594202898550725,0.058187872153072744,0.7681159420289855,0.7560795934641188
51,0.6173913043478261,0.5848690247020701,0.5594202898550724,0.5097798268974588,0.09855072463768116,0.028104575163398694,0.8521739130434782,0.8506800584405573
52,0.4956521739130435,0.48935196445295465,0.3391304347826087,0.31930862645937247,0.04927536231884058,0.014288245867193235,0.7681159420289855,0.766570125919699
53,0.6695652173913044,0.6550385174623702,0.36231884057971014,0.3437886490889796,0.034782608695652174,0.029035409035409035,0.7159420289855073,0.7126223040481681
54,0.11304347826086956,0.0762500445411884,0.1072463768115942,0.1116326378848538,0.08405797101449275,0.022843822843822845,0.3333333333333333,0.3098608106072589
55,0.30144927536231886,0.2765454276426003,0.43478260869565216,0.3957086773513066,0.06666666666666667,0.013688610240334378,0.48695652173913045,0.4769632568698693
56,0.41304347826086957,0.39682823329721084,0.38819875776397517,0.35098467110021725,0.09006211180124224,0.05485626421140834,0.6832298136645962,0.6755383336304404
mean,0.5370148226514686,0.5103817672883993,0.40054916615475616,0.3636069734507591,0.08001245648761177,0.03346651380549973,0.6992929947898892,0.682337456191288
std,0.1540581420093595,0.15564387662511114,0.10447508946465243,0.10684452409349017,0.028091702257724397,0.0204622935970424,0.1294513409449436,0.13622003957991935
