loop,model_accuracy_test,model_f1_score_test
0,0.6715794645050356,0.670364867110158
1,0.6628613067767792,0.6592236417001568
2,0.6961379645372844,0.6896996199128296
3,0.6823671497584541,0.6828590174578006
4,0.701514411333659,0.6980989300545598
5,0.6627964426877471,0.6689930022266919
6,0.7182510439695406,0.7131695104255631
7,0.7008399209486166,0.7008298824741428
8,0.6961379645372844,0.6915535784856457
9,0.6672334223949478,0.6625359918370507
10,0.6583498023715415,0.6575750987971494
11,0.7369320957498778,0.7368863867295072
12,0.6986166007905138,0.6977708342144181
13,0.6897568165070007,0.6874132170244491
14,0.745931503521982,0.7443127664702416
15,0.6914997557401075,0.6886279538860265
16,0.6997813942190916,0.6936378187088497
17,0.7440432326209776,0.7406718685659125
18,0.7291157791890571,0.7270686560806804
19,0.7418324735937116,0.7396849282717235
20,0.6988454925079833,0.699829504728544
21,0.7082827301433082,0.7045802126599588
22,0.7182510439695406,0.717539284071776
23,0.7187577639751552,0.7156739495357419
24,0.714704445530044,0.7111292112085608
25,0.6983390327308256,0.6970225834465762
26,0.6465559355153884,0.6446045673016193
27,0.6769492348797668,0.6720139991296479
28,0.7270940800786048,0.7258475322970569
29,0.6744015632633121,0.6719526778525023
mean,0.6992586622782379,0.6970390364221847
std,0.026897647032243968,0.026732817311324476
