loop,model_accuracy_test,model_f1_score_test
1,0.7275362318840579,0.6972554367792748
2,0.6840579710144927,0.6449163360850841
3,0.8105590062111802,0.7936795504567954
4,0.6521739130434783,0.5923021153668884
5,0.8434782608695652,0.8200106069827032
6,0.6832298136645962,0.6523741013175499
7,0.6492753623188405,0.6092186265568612
8,0.7159420289855073,0.7151472908627206
9,0.7043478260869566,0.682337115223248
10,0.7536231884057971,0.7498557738311048
11,0.6608695652173913,0.6310321072096718
12,0.8028985507246377,0.7894731560173889
13,0.6579710144927536,0.6229781530176083
14,0.7507246376811594,0.7356910531828047
15,0.6347826086956522,0.6108652793013454
16,0.7681159420289855,0.742227892955716
17,0.6695652173913044,0.644185778712226
18,0.6086956521739131,0.5736827096940795
19,0.7971014492753623,0.7523437271615019
20,0.7797101449275362,0.7588512671765738
21,0.8782608695652174,0.8721171973591356
22,0.6927536231884058,0.6540423390962931
23,0.7797101449275362,0.7621549496343692
24,0.8463768115942029,0.829842730353151
25,0.6608695652173913,0.6628787072542509
26,0.7763975155279503,0.7707526592533862
27,0.8202898550724638,0.8206959384257092
28,0.08695652173913043,0.10224229534574361
29,0.6521739130434783,0.6617731274600019
30,0.6985507246376812,0.6832451553528431
31,0.8173913043478261,0.8145363044563555
32,0.6318840579710145,0.5893090329671123
33,0.7913043478260869,0.7896187747021217
34,0.7913043478260869,0.7934261882797791
35,0.7710144927536232,0.7289110268613375
36,0.6583850931677019,0.6073469387755102
37,0.6608695652173913,0.656257024827173
38,0.9130434782608695,0.9093165710186988
39,0.7797101449275362,0.752817756561888
40,0.6463768115942029,0.6063581060986656
41,0.8115942028985508,0.7986896345211348
42,0.7391304347826086,0.7295111392179506
43,0.663768115942029,0.6479077640950658
44,0.6782608695652174,0.654600544108068
45,0.8376811594202899,0.8172689300204129
46,0.8115942028985508,0.7934532209865272
47,0.8354037267080745,0.8273128469933706
48,0.7043478260869566,0.6974221456191672
49,0.7763975155279503,0.7425113926304743
50,0.7422360248447205,0.7359006239660557
51,0.6789297658862876,0.6315965001170867
52,0.7304347826086957,0.7153190704879628
53,0.7333333333333333,0.6993096736953961
54,0.7971014492753623,0.7887155893701358
55,0.7333333333333333,0.7141024916739026
56,0.8231884057971014,0.8093932123756686
57,0.7884057971014493,0.7777300059241206
58,0.5971014492753624,0.5761713603003926
59,0.7594202898550725,0.7479434345622448
60,0.5652173913043478,0.535100315876924
61,0.3130434782608696,0.2897764165621728
62,0.7204968944099379,0.6726050803588415
mean,0.7185274519776625,0.6982001983135121
std,0.12283578352779939,0.12475953138801432
