loop,model_accuracy_test,model_f1_score_test
0,0.9019896831245394,0.9033817696806029
1,0.9296531509526136,0.9338085331369341
2,0.93209574987787,0.9374160775483802
3,0.9307748360456644,0.9306473526501252
4,0.914257954821472,0.9173848616163962
5,0.9,0.9013599003333294
6,0.9347826086956522,0.9374019333338376
7,0.8961895456765999,0.8982229032230612
8,0.9366249078850405,0.9432121698313007
9,0.9294685990338164,0.9322163286445366
10,0.9236059936133628,0.9320410100032712
11,0.8878847093307279,0.8936860256412766
12,0.9135319980459209,0.9204161762635058
13,0.9152295360699538,0.9207050361674554
14,0.9244595579305319,0.9323770841070245
15,0.9210590235608452,0.9259263338858297
16,0.9091787439613527,0.9122939735191988
17,0.9363614282244352,0.9442788950160788
18,0.9115612648221344,0.9122131377496616
19,0.9101123595505618,0.905489224571093
20,0.9429951690821256,0.9458104740676881
21,0.9106008793356131,0.9195323921847116
22,0.8874396135265701,0.8872488113460406
23,0.9228690739376074,0.923400815787065
24,0.9100790513833992,0.9140134982924836
25,0.8795239251882438,0.8884286610352492
26,0.8596065095943648,0.8563192378190853
27,0.936248168050806,0.9362696419947099
28,0.9184171958964338,0.9228509063079882
29,0.908867600098256,0.9035963149475327
mean,0.9145156279105504,0.9177316493568485
std,0.019033488831144772,0.020235980390914413
