loop,model_accuracy_test,model_f1_score_test
1,0.8724637681159421,0.8751181347576127
2,0.7420289855072464,0.7263973475669174
3,0.9130434782608695,0.9254527680592715
4,0.8202898550724638,0.8147832047433673
5,0.9072463768115943,0.9116385895685926
6,0.8354037267080745,0.84667957560801
7,0.7855072463768116,0.7870105146756897
8,0.7710144927536232,0.7725223256453546
9,0.7681159420289855,0.7293067379505319
10,0.7797101449275362,0.7913314965634629
11,0.808695652173913,0.7758855958869975
12,0.8492753623188406,0.8636993575867666
13,0.7478260869565218,0.7368114589812703
14,0.8347826086956521,0.854911769672408
15,0.8202898550724638,0.8285883424135335
16,0.8782608695652174,0.881081554723772
17,0.7188405797101449,0.7315845731140806
18,0.7478260869565218,0.7255462948866592
19,0.8521739130434782,0.8522284488419947
20,0.8376811594202899,0.844152979869462
21,0.8985507246376812,0.899114130511502
22,0.8057971014492754,0.781283985657439
23,0.8579710144927536,0.8539442971732955
24,0.8695652173913043,0.8740768910124802
25,0.7594202898550725,0.7548943811649228
26,0.8788819875776398,0.8867789235453085
27,0.8666666666666667,0.8661827453817117
28,0.2608695652173913,0.24909558627639794
29,0.6869565217391305,0.7045342415832703
30,0.8028985507246377,0.818160207338117
31,0.8492753623188406,0.843464542636613
32,0.7623188405797101,0.7576871707104266
33,0.863768115942029,0.8741226929678706
34,0.9043478260869565,0.9048401793336824
35,0.9043478260869565,0.9135811570657761
36,0.7919254658385093,0.7393354708194969
37,0.8347826086956521,0.8255622028165088
38,0.9043478260869565,0.9026536711988664
39,0.9478260869565217,0.9430928152944804
40,0.8260869565217391,0.8165323131842166
41,0.881159420289855,0.8826867816091954
42,0.8376811594202899,0.8244783418877462
43,0.7652173913043478,0.760095300914343
44,0.8028985507246377,0.8094748245437392
45,0.8463768115942029,0.8504051945909054
46,0.8347826086956521,0.8392486311793794
47,0.8881987577639752,0.9061411156487558
48,0.8260869565217391,0.7929026459027386
49,0.8509316770186336,0.8330319809178237
50,0.8229813664596274,0.7970796060359628
51,0.7993311036789298,0.8175374014170603
52,0.7971014492753623,0.7934988075656646
53,0.8579710144927536,0.8577185837536867
54,0.8231884057971014,0.8135406169394593
55,0.8724637681159421,0.8745782726045883
56,0.9072463768115943,0.906240989409962
57,0.8927536231884058,0.8922673698308086
58,0.7478260869565218,0.724029255319149
59,0.8666666666666667,0.8718803946897206
60,0.6985507246376812,0.6570972660381224
61,0.6231884057971014,0.5575059169840698
62,0.8043478260869565,0.7652062569421093
mean,0.816355337042574,0.8114566811534376
std,0.09470751556223213,0.10193341063488914
