loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,classifier_model_accuracy_C,classifier_model_f1_score_C,meta_model_accuracy,meta_model_f1_score
1,0.7913043478260869,0.704843500859115,0.7246376811594203,0.6637652627853072,0.263768115942029,0.0942789946202198,0.9594202898550724,0.941023319404702
2,0.8043478260869565,0.6549778332716956,0.484472049689441,0.42793322536721257,0.12732919254658384,0.08607590358398462,0.9254658385093167,0.911397968861204
3,0.6666666666666666,0.5616921398889785,0.6463768115942029,0.5249439715788977,0.17391304347826086,0.1586391065751372,0.8840579710144928,0.8175668486397318
4,0.7130434782608696,0.6452775904273487,0.6753623188405797,0.5453548180222134,0.08695652173913043,0.042403248924988056,0.9652173913043478,0.9570137611336771
5,0.7515527950310559,0.6316596558211128,0.6863354037267081,0.580579142223167,0.14596273291925466,0.10973512211902305,0.7329192546583851,0.6793330722226872
6,0.5072463768115942,0.3825651378222593,0.7101449275362319,0.6240417903780466,0.034782608695652174,0.02191818877783645,0.9072463768115943,0.8833222063982412
7,0.5333333333333333,0.44005201886956335,0.7652173913043478,0.7147687838477312,0.24347826086956523,0.06727941176470588,0.9246376811594202,0.8973630750157
8,0.744927536231884,0.6168136732800356,0.6608695652173913,0.45979644216219895,0.2028985507246377,0.10454347838012794,0.8724637681159421,0.8036640637127517
9,0.6869565217391305,0.6070037621857642,0.7072463768115942,0.5179414975024381,0.0782608695652174,0.033994817239498085,0.9043478260869565,0.8400929379227365
10,0.6782608695652174,0.5835963134575438,0.6347826086956522,0.5322997266018501,0.2028985507246377,0.059959349593495935,0.8927536231884058,0.8217067854683441
11,0.7536231884057971,0.6856752022506365,0.6782608695652174,0.6582203469760598,0.2144927536231884,0.09885330908593783,0.782608695652174,0.793874385564159
12,0.6579710144927536,0.489984887218639,0.6782608695652174,0.5696827573369734,0.09855072463768116,0.027777777777777776,0.8695652173913043,0.7742728617146717
13,0.5362318840579711,0.4622880706052579,0.5971014492753624,0.454814828575653,0.2985507246376812,0.08366266613973417,0.7884057971014493,0.6845423193827449
14,0.7072463768115942,0.6237962160584134,0.7014492753623188,0.5221248631231067,0.4492753623188406,0.23087615065601394,0.9536231884057971,0.9396324344586382
15,0.7594202898550725,0.7289134879055758,0.7043478260869566,0.5755001024769723,0.23768115942028986,0.11071619494925526,0.9391304347826087,0.9307922020531334
16,0.5739130434782609,0.5435691867126724,0.6956521739130435,0.617050000187072,0.21159420289855072,0.0831670362158167,0.7478260869565218,0.7224998811653873
17,0.782608695652174,0.6849308366530992,0.4579710144927536,0.26667513788630554,0.1855072463768116,0.050955414012738856,0.8057971014492754,0.7291433824365547
18,0.8173913043478261,0.7499358388173114,0.7768115942028986,0.6427263438776263,0.08405797101449275,0.05338040825529883,0.9391304347826087,0.9177457065568425
19,0.8202898550724638,0.7173102574363078,0.7159420289855073,0.6319119215769857,0.20869565217391303,0.09049523676341613,0.855072463768116,0.7726129288575408
20,0.7304347826086957,0.684277209475128,0.7710144927536232,0.704293516117442,0.22318840579710145,0.08023017131229,0.8869565217391304,0.8805706707936619
21,0.7246376811594203,0.655904984678251,0.6869565217391305,0.6802085776383169,0.12753623188405797,0.050423260949576734,0.936231884057971,0.9333342464901999
22,0.6231884057971014,0.5229125970275541,0.8608695652173913,0.8368828937643119,0.07246376811594203,0.05010570005575184,0.881159420289855,0.8534986247926653
23,0.65527950310559,0.5891223141349834,0.7981366459627329,0.6575339161249694,0.16770186335403728,0.04952390301364484,0.9099378881987578,0.9250221355487263
24,0.7014492753623188,0.6336640596610327,0.7855072463768116,0.6520640148901018,0.14782608695652175,0.06748188405797101,0.9594202898550724,0.9405799558989567
25,0.20869565217391303,0.2102678419037866,0.3072463768115942,0.2305854385530872,0.2144927536231884,0.07504242702889095,0.1855072463768116,0.15155636578608345
26,0.336231884057971,0.1807382279579074,0.6753623188405797,0.5713718320281136,0.12173913043478261,0.07134271978021978,0.8,0.7532243646674497
27,0.518840579710145,0.520495432008825,0.2956521739130435,0.23319286694914784,0.12173913043478261,0.038808912525215476,0.7217391304347827,0.661561389396377
28,0.40869565217391307,0.32848771683692907,0.5971014492753624,0.48709887866351614,0.08405797101449275,0.04631410256410256,0.8898550724637682,0.8787595899005995
29,0.7275362318840579,0.639040695432483,0.6666666666666666,0.4986413030359315,0.17391304347826086,0.04132231404958678,0.936231884057971,0.9184566995236155
30,0.7681159420289855,0.682459918772397,0.5420289855072464,0.44702624808584646,0.336231884057971,0.19959551986475063,0.8840579710144928,0.8581044172496577
31,0.808695652173913,0.7948770710996407,0.6231884057971014,0.6287946134539931,0.16231884057971013,0.06578051694257725,0.8695652173913043,0.886868525905213
32,0.7913043478260869,0.7285583166203695,0.7130434782608696,0.656083188611444,0.1855072463768116,0.04664723032069971,0.8318840579710145,0.7961849028015943
33,0.6149068322981367,0.5061724144683559,0.6366459627329193,0.47427296254668283,0.4409937888198758,0.20079326533916142,0.7857142857142857,0.6574267461394327
34,0.5304347826086957,0.3845187931818427,0.8376811594202899,0.759354623637587,0.2898550724637681,0.11030374818767896,0.927536231884058,0.8905378043128978
35,0.8289855072463768,0.798195886606283,0.5971014492753624,0.5312682153836887,0.33043478260869563,0.12067163317163317,0.9449275362318841,0.9338559307389231
36,0.6173913043478261,0.4763361428444639,0.5855072463768116,0.4984878229590425,0.07246376811594203,0.041012775965777785,0.5130434782608696,0.5659812173234442
37,0.7217391304347827,0.6698778329552093,0.8260869565217391,0.7479884000692395,0.2028985507246377,0.045497828265953895,0.9536231884057971,0.9292250745810896
38,0.7797101449275362,0.7522133283451149,0.7101449275362319,0.6215794820175846,0.11304347826086956,0.042739039353583724,0.9507246376811594,0.9436795491143317
39,0.7246376811594203,0.6926553140069158,0.8057971014492754,0.7413985357972919,0.1565217391304348,0.08547288951463944,0.9217391304347826,0.9220048306325752
40,0.6608695652173913,0.62043479145379,0.7188405797101449,0.6250593078221831,0.11014492753623188,0.055963731793251245,0.8898550724637682,0.8998104001408775
41,0.7333333333333333,0.6407801674614866,0.8318840579710145,0.7055034509218417,0.03768115942028986,0.018452380952380953,0.9565217391304348,0.9395601093235348
42,0.5623188405797102,0.5276328904951184,0.6985507246376812,0.6874936836586791,0.06086956521739131,0.03653359052929019,0.9014492753623189,0.8950477848562122
43,0.8012422360248447,0.6589872389828492,0.639751552795031,0.37957620636907247,0.2080745341614907,0.05697278911564626,0.9037267080745341,0.7410085432459685
44,0.4811594202898551,0.3391306145414812,0.7246376811594203,0.5642077123200334,0.014492753623188406,0.016607505070993914,0.881159420289855,0.7781930653264699
45,0.7236024844720497,0.7052531021310073,0.27639751552795033,0.10308871539883721,0.19875776397515527,0.10354057902230661,0.8354037267080745,0.8163118462245134
46,0.6987577639751553,0.668264599364843,0.8291925465838509,0.6941684934806035,0.2795031055900621,0.12382750954238117,0.9782608695652174,0.97200301870305
47,0.46488294314381273,0.29753235153510654,0.6287625418060201,0.5396970190409704,0.3076923076923077,0.0784313725490196,0.8963210702341137,0.7695718612925405
48,0.7043478260869566,0.6030534321001478,0.7855072463768116,0.718951359155528,0.0927536231884058,0.04962615030674847,0.9043478260869565,0.9078279253445163
49,0.7739130434782608,0.7170795240329115,0.7768115942028986,0.6977050150233082,0.05507246376811594,0.05666024866606262,0.9420289855072463,0.9323237161428685
50,0.7043478260869566,0.5526028078948212,0.6898550724637681,0.6736202282143813,0.19130434782608696,0.04187817258883249,0.8869565217391304,0.8393859799649834
51,0.8115942028985508,0.7088371935156215,0.7942028985507247,0.700350570182499,0.25507246376811593,0.10695190233604113,0.9507246376811594,0.9363559861754487
52,0.7072463768115942,0.5995986804539581,0.8028985507246377,0.6867563187506753,0.10434782608695652,0.045655225019922335,0.9594202898550724,0.946047111358246
53,0.8202898550724638,0.7875106565819967,0.744927536231884,0.6850711455828837,0.2898550724637681,0.13443801781275888,0.9797101449275363,0.9740391572473034
54,0.4434782608695652,0.270820098100532,0.6202898550724638,0.462496763913682,0.06666666666666667,0.021296296296296296,0.8260869565217391,0.7496416187058039
55,0.5623188405797102,0.4984406413929511,0.6231884057971014,0.49639881664225205,0.2463768115942029,0.0897399397986976,0.8260869565217391,0.7374113724995736
56,0.5527950310559007,0.3365060304701774,0.30745341614906835,0.19016132022051074,0.08385093167701864,0.03362652916793044,0.6832298136645962,0.5756560295246788
mean,0.6663168611926376,0.5803236880012071,0.669930948968216,0.5678315074912696,0.17671603758560278,0.07514327854048701,0.8668006165676972,0.8305040840829202
std,0.13355146184286018,0.1503997584411371,0.13442857097091906,0.1511330150970406,0.09638385809851518,0.045424645233803206,0.12550254678816586,0.13713653309886598
