loop,classifier_model_accuracy_PI,classifier_model_f1_score_PI,classifier_model_accuracy_M,classifier_model_f1_score_M,meta_model_accuracy,meta_model_f1_score
0,0.7170228445099485,0.6136805876022979,0.7526406288381233,0.7025461868408684,0.6575176099101288,0.574646337255453
1,0.7447484123106985,0.7089757981561333,0.6748900830483635,0.5796469977385059,0.7192130191887297,0.6807284088651089
2,0.7471014492753624,0.6852435893681805,0.6954106280193236,0.630198142830997,0.7747482191107836,0.7185264449752705
3,0.7313577847947534,0.6660584923799175,0.6793781880009716,0.6008894311142974,0.7347826086956522,0.6792780329230207
4,0.49291646311675624,0.314412603588378,0.7623351245725452,0.7102323836488293,0.470200293111871,0.38288355168601984
5,0.7943994104642594,0.7488629362006376,0.6308032424465734,0.5787078440013258,0.7633121641426478,0.7310081877232983
6,0.716183574879227,0.6146386609959293,0.5342995169082125,0.4121544105815439,0.6936980947728383,0.6450927452859851
7,0.8017686072218129,0.7619727638548676,0.732743797592729,0.6681622072359816,0.751032305076512,0.7173146258238586
8,0.6697606253053249,0.6170569941191475,0.7501221299462628,0.674037602642011,0.7024532426524168,0.6339932302935326
9,0.7533775485138786,0.691450534095836,0.6585605502333579,0.5654878611141249,0.8048363458720078,0.7591909922783981
10,0.7217391304347827,0.6829857625616359,0.7103864734299516,0.6506949415980148,0.7079341685089658,0.6542358439390029
11,0.8397655105031754,0.7841597628914407,0.6577918905715682,0.582497677461009,0.8710307767464582,0.8357092889519646
12,0.6425939572586588,0.6033925411256672,0.7091623679685581,0.6336570703335703,0.6646311675622862,0.6013987924020536
13,0.6573033707865169,0.5351418950664268,0.6553492916463117,0.581232401944686,0.7038647342995169,0.6430496489404617
14,0.7971014492753623,0.7556944833454068,0.7445345124048145,0.6735064403509452,0.7889239737673063,0.7466437693198436
15,0.7507246376811594,0.7105704278766851,0.7036231884057971,0.6410808867140436,0.782608695652174,0.750254453699991
16,0.680019540791402,0.5145581975220639,0.42696629213483145,0.2957954660003753,0.5407914020517831,0.44856606712327146
17,0.7845962732919255,0.7185962757507811,0.7361490683229813,0.651622125035852,0.746990911323999,0.7207442359423316
18,0.7398632144601857,0.6821686520492694,0.5676599902296043,0.47899816059830647,0.7628236443575965,0.7130006572406785
19,0.6985832926233513,0.6101668991520007,0.7200781631656082,0.6564267374169257,0.693209574987787,0.6640788276721412
20,0.7192130191887297,0.6661990673938323,0.7495749332037892,0.6942858722463976,0.7143208056988455,0.6860781679248222
21,0.7103077674645824,0.6387678058448902,0.7200781631656082,0.640803620642848,0.8031265266243283,0.7563921505006077
22,0.7784090909090909,0.7284408840887155,0.6578557312252964,0.6035112734062756,0.7990665684107099,0.7597900707123448
23,0.7958937198067633,0.7388380455685133,0.7507246376811594,0.693888030729897,0.7889953328420536,0.7512100840313659
24,0.8369565217391305,0.8008942276520022,0.7463768115942029,0.6701950801180874,0.7533775485138786,0.7301778002168997
25,0.7013018914271678,0.6155868219659262,0.6774748219110783,0.6054243307612959,0.7361660079051383,0.6590367784807285
26,0.7750366389838789,0.7192134857158958,0.7508549096238397,0.669820888657364,0.7821256038647343,0.7440791444708534
27,0.5950170981924768,0.46933928711795597,0.6678065461651197,0.6214883941002802,0.5034196384953591,0.49054947656279113
28,0.7944444444444444,0.7244199478240874,0.7275362318840579,0.6776221854815163,0.8054532056005895,0.7558276188064401
29,0.6914762957504299,0.5904824948683476,0.7342176369442397,0.669564411748093,0.7250425066796211,0.6580177431283531
mean,0.7292994528468412,0.6570656641914291,0.6895128517094962,0.6171393021031423,0.7248565565475572,0.6763834392392297
std,0.07249578588502785,0.10232531389225649,0.0736101324361173,0.08852469513847132,0.08859452276612542,0.09807862929359842
