loop,model_accuracy_test,model_f1_score_test
1,0.9159420289855073,0.8266287979965637
2,0.7333333333333333,0.6465899517810981
3,0.8434782608695652,0.770377832983079
4,0.8521739130434782,0.7578168246737167
5,0.7536231884057971,0.6831128998799715
6,0.7652173913043478,0.7124094692500496
7,0.9072463768115943,0.8209084361934103
8,0.1536231884057971,0.1841035886208907
9,0.863768115942029,0.7886949171164066
10,0.7536231884057971,0.7022875643513158
11,0.8927536231884058,0.826987079772054
12,0.8521739130434782,0.7245157483374236
13,0.8463768115942029,0.7839965231317674
14,0.8579710144927536,0.8265728194705013
15,0.8579710144927536,0.8394435086992735
16,0.7391304347826086,0.5178911316260715
17,0.8695652173913043,0.7838591833973609
18,0.8579710144927536,0.7756027202029814
19,0.7478260869565218,0.6318614091374708
20,0.9304347826086956,0.9138955536640309
21,0.8115942028985508,0.6947796837020995
22,0.8463768115942029,0.7637542600917573
23,0.7797101449275362,0.7117598900887714
24,0.8724637681159421,0.8431856422830424
25,0.7478260869565218,0.6218288641869303
26,0.6925465838509317,0.6722018807802466
27,0.8385093167701864,0.7218943964771596
28,0.8762541806020067,0.837154833191487
29,0.7797101449275362,0.740486283718218
30,0.8695652173913043,0.8074182198025878
31,0.8318840579710145,0.7256039996752466
32,0.8869565217391304,0.8456516215717418
33,0.7536231884057971,0.6432229845791596
34,0.7536231884057971,0.6388810952186568
35,0.6202898550724638,0.4226547459256168
36,0.7919254658385093,0.6827960590033175
mean,0.7985294898338376,0.7191897339050412
std,0.13018092640375356,0.13402438220731372
